game_id,drive,qtr,time,pass_attempts,pass_defenses,qb_hits,sacks,interceptions,expected_ints
2025_07_CAR_NYJ,8.0,2.0,06:57,3,2,0,0,0,1.865532300602474
2025_07_CAR_NYJ,10.0,2.0,01:18,5,0,1,0,0,0.014407893864078918
2025_07_CAR_NYJ,12.0,3.0,10:47,4,1,1,0,0,0.8771606659264801
2025_07_CAR_NYJ,14.0,3.0,04:33,4,0,3,1,0,0.019283849974406915
2025_07_CAR_NYJ,16.0,4.0,09:59,4,1,1,1,0,0.8808175226630808
2025_07_CAR_NYJ,18.0,4.0,04:57,2,1,0,0,0,0.9503466543640712
2025_07_CAR_NYJ,20.0,4.0,03:00,1,0,0,0,0,0.002654915437958073
2025_07_CAR_NYJ,22.0,4.0,01:36,1,0,0,0,0,0.0063902844816367535
2025_08_NYJ_CIN,1.0,1.0,10:21,6,2,0,0,0,1.7687054843328465
2025_08_NYJ_CIN,3.0,1.0,07:38,2,0,0,0,0,0.004082740515506088
2025_08_NYJ_CIN,5.0,1.0,01:30,2,0,0,0,0,0.006547187826325431
2025_08_NYJ_CIN,7.0,2.0,10:52,3,0,0,0,0,0.011629026818536383
2025_08_NYJ_CIN,9.0,2.0,01:22,7,0,0,0,0,0.019631203459679853
2025_08_NYJ_CIN,12.0,3.0,11:02,3,0,1,0,0,0.009540011367969376
2025_08_NYJ_CIN,14.0,3.0,02:49,3,1,0,0,0,0.947634000201826
2025_08_NYJ_CIN,16.0,4.0,12:22,2,0,0,0,0,0.005538924428179285
2025_08_NYJ_CIN,18.0,4.0,07:41,3,1,1,1,0,0.909223661547034
2025_08_NYJ_CIN,20.0,4.0,00:32,4,2,0,0,0,1.8764054231256941
2025_10_CLE_NYJ,1.0,1.0,13:47,2,0,0,0,0,0.004061350216617518
2025_10_CLE_NYJ,3.0,1.0,06:40,4,0,0,0,0,0.008155066111625631
2025_10_CLE_NYJ,5.0,1.0,06:05,3,2,0,0,0,1.719064703971258
2025_10_CLE_NYJ,6.0,1.0,02:57,3,0,1,0,0,0.010838951611323864
2025_10_CLE_NYJ,8.0,2.0,11:38,4,0,1,1,0,0.00822670412950566
2025_10_CLE_NYJ,10.0,2.0,10:41,1,0,0,0,0,0.004460083618951684
2025_10_CLE_NYJ,12.0,2.0,01:55,3,0,1,1,0,0.005013975355013156
2025_10_CLE_NYJ,14.0,2.0,00:17,6,1,1,1,0,0.9616217258509299
2025_10_CLE_NYJ,16.0,3.0,08:10,2,0,0,0,0,0.005178374118927215
2025_10_CLE_NYJ,18.0,3.0,04:32,3,0,1,1,0,0.005747346312829391
2025_10_CLE_NYJ,20.0,4.0,10:21,1,0,1,1,0,0.0007135817599067908
2025_10_CLE_NYJ,22.0,4.0,03:37,6,0,1,1,0,0.018573141803030355
2025_11_NYJ_NE,2.0,1.0,01:51,5,0,0,0,0,0.012243695056730793
2025_11_NYJ_NE,4.0,2.0,08:24,4,0,0,0,0,0.01411118085541903
2025_11_NYJ_NE,6.0,2.0,03:36,3,0,0,0,0,0.010586377301351462
2025_11_NYJ_NE,8.0,2.0,00:13,4,0,1,0,0,0.013765489799064008
